lag,Datetime,mhw_intensity,EC50
2,2003-03-01,0.0,39.77
2,2003-04-01,0.0,55.44
2,2003-05-01,0.1401129272727264,24.15
2,2004-01-01,0.0,66.94
2,2004-02-01,0.0,44.4
2,2004-03-01,0.2688839772727256,35.629999999999995
2,2004-05-01,0.0,42.45
2,2004-06-01,0.0,47.905
2,2004-11-01,0.0,41.52
2,2004-12-01,0.0,43.99
2,2005-01-01,0.3773245727272751,43.59
2,2005-02-01,0.1013290909090933,50.07
2,2005-04-01,0.0,61.43
2,2005-05-01,0.0,55.49
2,2005-10-01,0.0,57.53
2,2006-03-01,0.0,57.65
2,2006-04-01,0.0,53.65
2,2006-05-01,0.0,63.28
2,2006-06-01,0.0,15.89
2,2006-10-01,0.9538161727272724,52.15
2,2007-02-01,0.9046321272727288,37.2
2,2007-05-01,0.6738286772727253,43.0
2,2008-01-01,0.0,39.88
2,2008-03-01,0.0,36.14
2,2008-06-01,0.0,47.18
2,2008-07-01,0.0,52.76
2,2008-09-01,0.3209508727272734,35.38
2,2008-12-01,0.0,52.76
2,2009-01-01,0.0606447181818197,41.005
2,2009-02-01,0.0,43.07
2,2009-12-01,0.5389109363636351,52.28
2,2010-02-01,0.0,54.04
2,2010-03-01,0.0,44.48
2,2010-04-01,0.0,39.005
2,2010-05-01,0.0,42.742
2,2010-06-01,0.0,56.24
2,2010-07-01,0.0,42.08
2,2010-09-01,0.5749658181818198,39.84
2,2010-10-01,0.0,43.505
2,2010-11-01,0.0444266727272761,44.04
2,2010-12-01,0.0,49.97
2,2011-01-01,0.0,51.13
2,2011-02-01,0.0,53.67
2,2011-03-01,0.0,43.12
2,2011-04-01,0.0,44.06
2,2011-05-01,0.0,37.89
2,2011-09-01,0.0,38.17
2,2011-10-01,0.0,42.13
2,2011-11-01,0.3000436272727249,46.38
2,2011-12-01,0.2292050363636342,53.973333333333336
2,2012-01-01,0.1925706090909074,54.27
2,2012-02-01,0.2783974272727292,51.805
2,2012-03-01,0.1403658136363645,43.625
2,2012-04-01,0.0345712954545476,40.975
2,2012-05-01,0.454701527272725,44.395
2,2012-09-01,0.0,42.12
2,2012-10-01,0.2042335181818195,43.41
2,2013-01-01,0.058926127272727,51.85
2,2013-02-01,0.0,54.53
2,2013-03-01,0.0,59.405
2,2013-04-01,0.0,51.43
2,2013-05-01,0.0,60.25
2,2013-09-01,0.0,55.56999999999999
2,2013-10-01,0.0,51.535
2,2013-11-01,0.0,49.05500000000001
2,2013-12-01,0.0,48.125
2,2014-01-01,0.1033223090909096,47.694
2,2014-02-01,0.0,46.75
2,2014-03-01,0.4959022227272722,45.99
2,2014-04-01,0.2048790727272731,49.75
2,2014-05-01,0.870155290909091,44.6625
2,2014-07-01,0.0,49.49
2,2014-08-01,0.9136129363636344,46.81
2,2014-09-01,0.0,53.01666666666667
2,2014-11-01,0.2173877636363634,52.15
2,2014-12-01,1.4701304999999998,48.185
2,2015-01-01,0.5067009999999996,47.79
2,2015-02-01,0.8983849636363672,46.98
2,2015-03-01,1.1455630090909104,46.195
2,2015-04-01,0.6657571409090917,46.67
2,2015-05-01,0.6019769272727267,45.96666666666667
2,2015-06-01,0.6383805818181791,46.75
2,2015-07-01,0.2086155272727268,48.27
2,2015-09-01,1.643218272727271,48.45
2,2015-11-01,0.0,46.4
2,2015-12-01,0.0,48.16
2,2016-01-01,0.0,44.605
2,2016-02-01,0.0,44.095
2,2016-03-01,0.097796622727273,42.945
2,2016-04-01,0.0,44.84
2,2016-05-01,0.3407958090909098,41.4
2,2016-06-01,0.3045185818181792,38.18
2,2016-09-01,0.0244967000000002,29.67
2,2016-10-01,0.0,33.69
2,2016-11-01,0.5592465818181793,32.89
2,2016-12-01,0.0,33.685
2,2017-01-01,0.1977996636363634,32.36
2,2017-02-01,0.4123145636363645,31.01
2,2017-03-01,1.02929465909091,32.185
2,2017-04-01,0.0345876818181825,31.66
2,2017-05-01,0.6989517727272734,29.89
2,2017-06-01,1.3557349727272712,28.45
2,2017-09-01,0.0,29.685
2,2017-10-01,0.6692104000000043,29.025
2,2017-11-01,0.0,30.855
2,2017-12-01,0.0,31.31
2,2018-02-01,0.0,26.775
2,2018-03-01,0.0,27.4
2,2018-04-01,0.0,28.31
2,2018-05-01,0.0,27.663333333333338
2,2018-06-01,2.139421509090909,25.42
2,2018-09-01,0.1346892727272717,27.22
2,2018-10-01,1.5714979363636346,27.73
2,2018-11-01,1.458575981818182,27.265
2,2018-12-01,0.7445215000000012,27.905
2,2019-02-01,0.7550675818181816,18.65
2,2019-03-01,0.8853095090909076,27.886666666666667
2,2019-04-01,0.5766817,25.55
2,2019-06-01,0.0,24.18
2,2019-09-01,1.7435065272727217,25.365
2,2019-10-01,0.8002175363636361,25.825
2,2019-11-01,0.8740704181818195,25.885
2,2019-12-01,0.347198454545456,25.130000000000003
2,2020-01-01,0.3228690000000007,26.0
2,2020-02-01,0.04252559090909,26.4
2,2020-03-01,0.4548141818181825,26.79
2,2020-04-01,0.7169176999999998,24.35
2,2020-05-01,0.3743505272727248,22.615
2,2020-06-01,0.1613945318181819,22.06
2,2020-09-01,0.0,22.67
2,2020-10-01,0.3334888636363615,21.83
2,2020-11-01,1.0469775272727233,20.61
2,2020-12-01,0.0,23.65
2,2021-01-01,0.0,28.62
2,2021-02-01,0.0,21.635
2,2021-03-01,0.0434305090909106,29.31
2,2021-05-01,0.5536719590909112,25.595
2,2021-10-01,0.0934600000000038,35.28
2,2021-11-01,0.3101091000000018,27.52
2,2022-03-01,0.3700390272727265,20.18
2,2022-04-01,0.4617819954545457,28.1
2,2022-10-01,1.5763111999999992,19.433333333333334
2,2023-03-01,0.77571050909091,17.3
2,2023-05-01,0.4552779727272753,30.82
2,2023-12-01,1.3332740727272707,11.71
2,2024-02-01,0.0,19.715
2,2024-04-01,0.5212715454545442,21.02
2,2024-10-01,2.797657772727277,24.54
2,2024-11-01,1.779699418181817,28.05
2,2025-01-01,0.9744738363636358,25.53
2,2025-02-01,0.6225324272727306,48.75
2,2025-03-01,0.5512857272727256,29.57
2,2025-04-01,0.4768654272727293,31.88
2,2025-05-01,0.7793327727272743,24.48
2,2025-10-01,0.8172037545454565,14.37
2,2025-11-01,0.9888451181818176,20.75
2,2025-12-01,0.0906321090909081,17.895
12,2004-01-01,0.0,66.94
12,2004-02-01,0.0,44.4
12,2004-03-01,0.1401129272727264,35.629999999999995
12,2004-05-01,0.4074588727272719,42.45
12,2004-06-01,1.954986154545452,47.905
12,2004-11-01,0.0,41.52
12,2004-12-01,0.0,43.99
12,2005-01-01,0.2688839772727256,43.59
12,2005-02-01,0.0,50.07
12,2005-04-01,0.0,61.43
12,2005-05-01,0.0,55.49
12,2005-10-01,0.0,57.53
12,2006-03-01,0.0,57.65
12,2006-04-01,0.0,53.65
12,2006-05-01,0.3738019181818188,63.28
12,2006-06-01,0.5011694090909096,15.89
12,2006-10-01,0.0,52.15
12,2007-02-01,0.0,37.2
12,2007-05-01,0.0,43.0
12,2008-01-01,1.0228358681818186,39.88
12,2008-03-01,0.6738286772727253,36.14
12,2008-06-01,0.0,47.18
12,2008-07-01,0.0,52.76
12,2008-09-01,0.0,35.38
12,2008-12-01,0.0,52.76
12,2009-01-01,0.0,41.005
12,2009-02-01,0.0,43.07
12,2009-12-01,0.0,52.28
12,2010-02-01,0.3958407000000008,54.04
12,2010-03-01,0.0990427500000006,44.48
12,2010-04-01,0.078185481818183,39.005
12,2010-05-01,1.0896280999999988,42.742
12,2010-06-01,0.076089336363637,56.24
12,2010-07-01,0.0,42.08
12,2010-09-01,0.423408918181817,39.84
12,2010-10-01,0.5389109363636351,43.505
12,2010-11-01,0.1846899181818173,44.04
12,2010-12-01,0.0,49.97
12,2011-01-01,0.0,51.13
12,2011-02-01,0.0,53.67
12,2011-03-01,0.0,43.12
12,2011-04-01,0.0,44.06
12,2011-05-01,0.0,37.89
12,2011-09-01,0.0444266727272761,38.17
12,2011-10-01,0.0,42.13
12,2011-11-01,0.0,46.38
12,2011-12-01,0.0,53.973333333333336
12,2012-01-01,0.0,54.27
12,2012-02-01,0.0,51.805
12,2012-03-01,0.0,43.625
12,2012-04-01,1.093655568181818,40.975
12,2012-05-01,0.3063980545454541,44.395
12,2012-09-01,0.3000436272727249,42.12
12,2012-10-01,0.2292050363636342,43.41
12,2013-01-01,0.1403658136363645,51.85
12,2013-02-01,0.0345712954545476,54.53
12,2013-03-01,0.454701527272725,59.405
12,2013-04-01,0.1945053999999988,51.43
12,2013-05-01,0.0,60.25
12,2013-09-01,0.2654878000000025,55.56999999999999
12,2013-10-01,0.1635780000000011,51.535
12,2013-11-01,0.058926127272727,49.05500000000001
12,2013-12-01,0.0,48.125
12,2014-01-01,0.0,47.694
12,2014-02-01,0.0,46.75
12,2014-03-01,0.0,45.99
12,2014-04-01,0.726807063636361,49.75
12,2014-05-01,0.0,44.6625
12,2014-07-01,0.0,49.49
12,2014-08-01,0.0,46.81
12,2014-09-01,0.0,53.01666666666667
12,2014-11-01,0.1033223090909096,52.15
12,2014-12-01,0.0,48.185
12,2015-01-01,0.4959022227272722,47.79
12,2015-02-01,0.2048790727272731,46.98
12,2015-03-01,0.870155290909091,46.195
12,2015-04-01,0.8377114818181823,46.67
12,2015-05-01,0.0,45.96666666666667
12,2015-06-01,0.9136129363636344,46.75
12,2015-07-01,0.0,48.27
12,2015-09-01,0.2173877636363634,48.45
12,2015-11-01,0.5067009999999996,46.4
12,2015-12-01,0.8983849636363672,48.16
12,2016-01-01,1.1455630090909104,44.605
12,2016-02-01,0.6657571409090917,44.095
12,2016-03-01,0.6019769272727267,42.945
12,2016-04-01,0.6383805818181791,44.84
12,2016-05-01,0.2086155272727268,41.4
12,2016-06-01,1.0105387909090917,38.18
12,2016-09-01,0.0,29.67
12,2016-10-01,0.0,33.69
12,2016-11-01,0.0,32.89
12,2016-12-01,0.0,33.685
12,2017-01-01,0.097796622727273,32.36
12,2017-02-01,0.0,31.01
12,2017-03-01,0.3407958090909098,32.185
12,2017-04-01,0.3045185818181792,31.66
12,2017-05-01,0.0,29.89
12,2017-06-01,0.0,28.45
12,2017-09-01,0.5592465818181793,29.685
12,2017-10-01,0.0,29.025
12,2017-11-01,0.1977996636363634,30.855
12,2017-12-01,0.4123145636363645,31.31
12,2018-02-01,0.0345876818181825,26.775
12,2018-03-01,0.6989517727272734,27.4
12,2018-04-01,1.3557349727272712,28.31
12,2018-05-01,0.1059574818181836,27.663333333333338
12,2018-06-01,1.3443581363636383,25.42
12,2018-09-01,0.0,27.22
12,2018-10-01,0.0,27.73
12,2018-11-01,0.0,27.265
12,2018-12-01,0.0,27.905
12,2019-02-01,0.0,18.65
12,2019-03-01,0.0,27.886666666666667
12,2019-04-01,2.139421509090909,25.55
12,2019-06-01,0.0910156454545436,24.18
12,2019-09-01,1.458575981818182,25.365
12,2019-10-01,0.7445215000000012,25.825
12,2019-11-01,0.6913496090909099,25.885
12,2019-12-01,0.7550675818181816,25.130000000000003
12,2020-01-01,0.8853095090909076,26.0
12,2020-02-01,0.5766817,26.4
12,2020-03-01,0.7630364909090925,26.79
12,2020-04-01,0.0,24.35
12,2020-05-01,0.0,22.615
12,2020-06-01,0.7078950909090906,22.06
12,2020-09-01,0.8740704181818195,22.67
12,2020-10-01,0.347198454545456,21.83
12,2020-11-01,0.3228690000000007,20.61
12,2020-12-01,0.04252559090909,23.65
12,2021-01-01,0.4548141818181825,28.62
12,2021-02-01,0.7169176999999998,21.635
12,2021-03-01,0.3743505272727248,29.31
12,2021-05-01,0.0083328000000015,25.595
12,2021-10-01,0.0,35.28
12,2021-11-01,0.0,27.52
12,2022-03-01,0.5536719590909112,20.18
12,2022-04-01,0.8973273999999982,28.1
12,2022-10-01,0.1617278999999989,19.433333333333334
12,2023-03-01,0.2921839727272726,17.3
12,2023-05-01,1.2351597272727304,30.82
12,2023-12-01,0.4259606636363635,11.71
12,2024-02-01,0.8479852909090919,19.715
12,2024-04-01,0.3802188181818202,21.02
12,2024-10-01,1.3332740727272707,24.54
12,2024-11-01,0.5544519181818188,28.05
12,2025-01-01,0.3921669772727263,25.53
12,2025-02-01,0.5212715454545442,48.75
12,2025-03-01,0.9222856590909104,29.57
12,2025-04-01,2.1228165545454534,31.88
12,2025-05-01,0.2362840363636351,24.48
12,2025-10-01,0.2740549181818181,14.37
12,2025-11-01,0.9744738363636358,20.75
12,2025-12-01,0.6225324272727306,17.895
8,2004-01-01,0.4074588727272719,66.94
8,2004-02-01,1.954986154545452,44.4
8,2004-03-01,0.98279950909091,35.629999999999995
8,2004-05-01,0.0939163090909147,42.45
8,2004-06-01,0.0,47.905
8,2004-11-01,0.0,41.52
8,2004-12-01,0.0,43.99
8,2005-01-01,0.0,43.59
8,2005-02-01,0.0,50.07
8,2005-04-01,0.0,61.43
8,2005-05-01,0.0,55.49
8,2005-10-01,0.0,57.53
8,2006-03-01,0.0,57.65
8,2006-04-01,0.0,53.65
8,2006-05-01,0.0,63.28
8,2006-06-01,0.0,15.89
8,2006-10-01,0.0,52.15
8,2007-02-01,0.0,37.2
8,2007-05-01,0.0,43.0
8,2008-01-01,1.278448836363637,39.88
8,2008-03-01,0.0,36.14
8,2008-06-01,0.0,47.18
8,2008-07-01,0.0,52.76
8,2008-09-01,0.0,35.38
8,2008-12-01,0.0,52.76
8,2009-01-01,0.0,41.005
8,2009-02-01,0.0,43.07
8,2009-12-01,0.078185481818183,52.28
8,2010-02-01,0.076089336363637,54.04
8,2010-03-01,0.0,44.48
8,2010-04-01,0.2554754545454543,39.005
8,2010-05-01,0.423408918181817,42.742
8,2010-06-01,0.5389109363636351,56.24
8,2010-07-01,0.1846899181818173,42.08
8,2010-09-01,0.0,39.84
8,2010-10-01,0.0,43.505
8,2010-11-01,0.0,44.04
8,2010-12-01,0.0,49.97
8,2011-01-01,0.0,51.13
8,2011-02-01,0.0,53.67
8,2011-03-01,0.5749658181818198,43.12
8,2011-04-01,0.0,44.06
8,2011-05-01,0.0444266727272761,37.89
8,2011-09-01,0.0,38.17
8,2011-10-01,0.0,42.13
8,2011-11-01,0.0,46.38
8,2011-12-01,1.093655568181818,53.973333333333336
8,2012-01-01,0.3063980545454541,54.27
8,2012-02-01,0.0,51.805
8,2012-03-01,0.0,43.625
8,2012-04-01,0.0,40.975
8,2012-05-01,0.3000436272727249,44.395
8,2012-09-01,0.1403658136363645,42.12
8,2012-10-01,0.0345712954545476,43.41
8,2013-01-01,0.0,51.85
8,2013-02-01,0.0,54.53
8,2013-03-01,0.0,59.405
8,2013-04-01,0.2042335181818195,51.43
8,2013-05-01,0.2654878000000025,60.25
8,2013-09-01,0.0,55.56999999999999
8,2013-10-01,0.0,51.535
8,2013-11-01,0.0,49.05500000000001
8,2013-12-01,0.726807063636361,48.125
8,2014-01-01,0.0,47.694
8,2014-02-01,0.0,46.75
8,2014-03-01,0.0,45.99
8,2014-04-01,0.0,49.75
8,2014-05-01,0.0,44.6625
8,2014-07-01,0.1033223090909096,49.49
8,2014-08-01,0.0,46.81
8,2014-09-01,0.4959022227272722,53.01666666666667
8,2014-11-01,0.870155290909091,52.15
8,2014-12-01,0.8377114818181823,48.185
8,2015-01-01,0.0,47.79
8,2015-02-01,0.9136129363636344,46.98
8,2015-03-01,0.0,46.195
8,2015-04-01,0.0,46.67
8,2015-05-01,0.2173877636363634,45.96666666666667
8,2015-06-01,1.4701304999999998,46.75
8,2015-07-01,0.5067009999999996,48.27
8,2015-09-01,1.1455630090909104,48.45
8,2015-11-01,0.6019769272727267,46.4
8,2015-12-01,0.6383805818181791,48.16
8,2016-01-01,0.2086155272727268,44.605
8,2016-02-01,1.0105387909090917,44.095
8,2016-03-01,1.643218272727271,42.945
8,2016-04-01,0.8064552727272769,44.84
8,2016-05-01,0.0,41.4
8,2016-06-01,0.0,38.18
8,2016-09-01,0.097796622727273,29.67
8,2016-10-01,0.0,33.69
8,2016-11-01,0.3407958090909098,32.89
8,2016-12-01,0.3045185818181792,33.685
8,2017-01-01,0.0,32.36
8,2017-02-01,0.0,31.01
8,2017-03-01,0.0244967000000002,32.185
8,2017-04-01,0.0,31.66
8,2017-05-01,0.5592465818181793,29.89
8,2017-06-01,0.0,28.45
8,2017-09-01,1.02929465909091,29.685
8,2017-10-01,0.0345876818181825,29.025
8,2017-11-01,0.6989517727272734,30.855
8,2017-12-01,1.3557349727272712,31.31
8,2018-02-01,1.3443581363636383,26.775
8,2018-03-01,0.0,27.4
8,2018-04-01,0.6692104000000043,28.31
8,2018-05-01,0.0,27.663333333333338
8,2018-06-01,0.0,25.42
8,2018-09-01,0.0,27.22
8,2018-10-01,0.0,27.73
8,2018-11-01,0.0,27.265
8,2018-12-01,2.139421509090909,27.905
8,2019-02-01,0.0910156454545436,18.65
8,2019-03-01,0.1346892727272717,27.886666666666667
8,2019-04-01,1.5714979363636346,25.55
8,2019-06-01,0.7445215000000012,24.18
8,2019-09-01,0.8853095090909076,25.365
8,2019-10-01,0.5766817,25.825
8,2019-11-01,0.7630364909090925,25.885
8,2019-12-01,0.0,25.130000000000003
8,2020-01-01,0.0,26.0
8,2020-02-01,0.7078950909090906,26.4
8,2020-03-01,1.7435065272727217,26.79
8,2020-04-01,0.8002175363636361,24.35
8,2020-05-01,0.8740704181818195,22.615
8,2020-06-01,0.347198454545456,22.06
8,2020-09-01,0.4548141818181825,22.67
8,2020-10-01,0.7169176999999998,21.83
8,2020-11-01,0.3743505272727248,20.61
8,2020-12-01,0.1613945318181819,23.65
8,2021-01-01,0.0083328000000015,28.62
8,2021-02-01,0.0,21.635
8,2021-03-01,0.0,29.31
8,2021-05-01,1.0469775272727233,25.595
8,2021-10-01,0.0,35.28
8,2021-11-01,0.5536719590909112,27.52
8,2022-03-01,0.0103238545454544,20.18
8,2022-04-01,0.0934600000000038,28.1
8,2022-10-01,0.4617819954545457,19.433333333333334
8,2023-03-01,2.0203890727272764,17.3
8,2023-05-01,1.1519483909090944,30.82
8,2023-12-01,0.3802188181818202,11.71
8,2024-02-01,0.9251151363636368,19.715
8,2024-04-01,0.928662854545454,21.02
8,2024-10-01,0.5212715454545442,24.54
8,2024-11-01,0.9222856590909104,28.05
8,2025-01-01,0.2362840363636351,25.53
8,2025-02-01,0.0,48.75
8,2025-03-01,1.4668401727272735,29.57
8,2025-04-01,2.797657772727277,31.88
8,2025-05-01,1.779699418181817,24.48
8,2025-10-01,0.4768654272727293,14.37
8,2025-11-01,0.7793327727272743,20.75
8,2025-12-01,1.0746263409090897,17.895
